"DateTime";"[Diag Pack][PM - Capteur 1][PM10] ug/m3"
"2022-03-25 00:00:31";28
"2022-03-25 00:01:01";30
"2022-03-25 00:01:31";28
"2022-03-25 00:02:31";27
"2022-03-25 00:03:01";28
"2022-03-25 00:03:31";26
"2022-03-25 00:04:01";21
"2022-03-25 00:04:31";24
"2022-03-25 00:05:01";27
"2022-03-25 00:05:31";32
"2022-03-25 00:06:01";30
"2022-03-25 00:06:31";27
"2022-03-25 00:07:01";30
"2022-03-25 00:07:32";32
"2022-03-25 00:08:02";33
"2022-03-25 00:08:32";32
"2022-03-25 00:09:02";36
"2022-03-25 00:10:02";32
"2022-03-25 00:10:32";30
"2022-03-25 00:11:02";28
"2022-03-25 00:11:32";27
"2022-03-25 00:12:32";30
"2022-03-25 00:13:02";31
"2022-03-25 00:13:32";30
"2022-03-25 00:14:02";31
"2022-03-25 00:14:32";30
"2022-03-25 00:15:02";25
"2022-03-25 00:16:02";27
"2022-03-25 00:16:32";37
"2022-03-25 00:17:02";33
"2022-03-25 00:17:32";31
"2022-03-25 00:18:02";26
"2022-03-25 00:18:32";29
"2022-03-25 00:19:02";28
"2022-03-25 00:19:32";31
"2022-03-25 00:20:02";28
"2022-03-25 00:20:32";31
"2022-03-25 00:21:05";27
"2022-03-25 00:21:32";25
"2022-03-25 00:22:33";27
"2022-03-25 00:23:32";31
"2022-03-25 00:24:03";33
"2022-03-25 00:24:33";36
"2022-03-25 00:25:03";30
"2022-03-25 00:25:33";27
"2022-03-25 00:26:03";30
"2022-03-25 00:26:33";27
"2022-03-25 00:27:03";31
"2022-03-25 00:27:33";29
"2022-03-25 00:28:03";31
"2022-03-25 00:28:33";27
"2022-03-25 00:29:03";26
"2022-03-25 00:29:33";28
"2022-03-25 00:30:03";30
"2022-03-25 00:30:33";29
"2022-03-25 00:31:03";31
"2022-03-25 00:31:33";27
"2022-03-25 00:32:03";31
"2022-03-25 00:32:33";28
"2022-03-25 00:33:03";30
"2022-03-25 00:33:33";25
"2022-03-25 00:34:33";28
"2022-03-25 00:35:04";30
"2022-03-25 00:36:04";29
"2022-03-25 00:36:34";27
"2022-03-25 00:37:03";24
"2022-03-25 00:37:34";20
"2022-03-25 00:38:04";24
"2022-03-25 00:38:34";28
"2022-03-25 00:39:04";31
"2022-03-25 00:39:34";27
"2022-03-25 00:40:04";26
"2022-03-25 00:41:04";30
"2022-03-25 00:41:34";32
"2022-03-25 00:42:04";30
"2022-03-25 00:42:34";25
"2022-03-25 00:43:04";18
"2022-03-25 00:43:34";17
"2022-03-25 00:44:04";24
"2022-03-25 00:44:34";27
"2022-03-25 00:45:04";25
"2022-03-25 00:46:04";27
"2022-03-25 00:46:34";33
"2022-03-25 00:47:04";37
"2022-03-25 00:48:04";33
"2022-03-25 00:48:35";31
"2022-03-25 00:49:04";30
"2022-03-25 00:49:35";32
"2022-03-25 00:50:35";27
"2022-03-25 00:51:35";25
"2022-03-25 00:52:05";30
"2022-03-25 00:52:35";31
"2022-03-25 00:53:05";30
"2022-03-25 00:53:35";31
"2022-03-25 00:54:05";36
"2022-03-25 00:55:05";30
"2022-03-25 00:55:35";24
"2022-03-25 00:56:05";26
"2022-03-25 00:57:05";28
"2022-03-25 00:57:35";24
"2022-03-25 00:58:05";26
"2022-03-25 00:58:35";24
"2022-03-25 00:59:05";27
"2022-03-25 00:59:35";32
"2022-03-25 01:00:05";38
"2022-03-25 01:00:35";39
"2022-03-25 01:01:05";33
"2022-03-25 01:01:35";32
"2022-03-25 01:02:05";31
"2022-03-25 01:03:06";30
"2022-03-25 01:03:36";29
"2022-03-25 01:04:06";27
"2022-03-25 01:05:06";25
"2022-03-25 01:05:36";21
"2022-03-25 01:06:36";24
"2022-03-25 01:07:06";29
"2022-03-25 01:07:36";27
"2022-03-25 01:08:06";30
"2022-03-25 01:08:36";27
"2022-03-25 01:09:36";24
"2022-03-25 01:10:06";21
"2022-03-25 01:10:36";25
"2022-03-25 01:11:06";33
"2022-03-25 01:11:36";37
"2022-03-25 01:12:06";32
"2022-03-25 01:12:36";28
"2022-03-25 01:13:06";31
"2022-03-25 01:14:06";30
"2022-03-25 01:14:36";28
"2022-03-25 01:15:06";31
"2022-03-25 01:15:36";30
"2022-03-25 01:16:06";27
"2022-03-25 01:16:36";25
"2022-03-25 01:17:07";21
"2022-03-25 01:17:37";25
"2022-03-25 01:18:07";28
"2022-03-25 01:18:37";31
"2022-03-25 01:19:07";30
"2022-03-25 01:19:37";29
"2022-03-25 01:20:07";25
"2022-03-25 01:20:37";23
"2022-03-25 01:21:07";26
"2022-03-25 01:21:37";32
"2022-03-25 01:22:07";31
"2022-03-25 01:22:37";24
"2022-03-25 01:23:07";21
"2022-03-25 01:23:37";23
"2022-03-25 01:24:07";25
"2022-03-25 01:24:37";21
"2022-03-25 01:25:07";24
"2022-03-25 01:25:37";26
"2022-03-25 01:26:37";28
"2022-03-25 01:27:07";30
"2022-03-25 01:27:37";31
"2022-03-25 01:28:37";27
"2022-03-25 01:29:07";29
"2022-03-25 01:29:38";25
"2022-03-25 01:30:08";27
"2022-03-25 01:30:37";26
"2022-03-25 01:31:38";21
"2022-03-25 01:32:08";26
"2022-03-25 01:32:38";25
"2022-03-25 01:33:38";28
"2022-03-25 01:34:08";32
"2022-03-25 01:34:38";36
"2022-03-25 01:35:08";30
"2022-03-25 01:35:38";23
"2022-03-25 01:36:08";21
"2022-03-25 01:36:38";27
"2022-03-25 01:37:08";30
"2022-03-25 01:37:38";32
"2022-03-25 01:38:38";38
"2022-03-25 01:39:08";36
"2022-03-25 01:39:38";32
"2022-03-25 01:40:39";33
"2022-03-25 01:41:38";31
"2022-03-25 01:42:08";30
"2022-03-25 01:42:39";26
"2022-03-25 01:43:39";30
"2022-03-25 01:44:09";31
"2022-03-25 01:44:39";28
"2022-03-25 01:45:09";26
"2022-03-25 01:45:39";20
"2022-03-25 01:46:09";27
"2022-03-25 01:46:39";21
"2022-03-25 01:47:09";26
"2022-03-25 01:47:39";20
"2022-03-25 01:48:09";24
"2022-03-25 01:48:39";26
"2022-03-25 01:49:39";25
"2022-03-25 01:50:09";20
"2022-03-25 01:51:09";26
"2022-03-25 01:51:39";27
"2022-03-25 01:52:09";30
"2022-03-25 01:52:39";29
"2022-03-25 01:53:09";31
"2022-03-25 01:53:39";26
"2022-03-25 01:54:10";27
"2022-03-25 01:54:41";30
"2022-03-25 01:55:10";31
"2022-03-25 01:55:39";32
"2022-03-25 01:56:10";31
"2022-03-25 01:57:10";26
"2022-03-25 01:57:40";21
"2022-03-25 01:58:40";24
"2022-03-25 01:59:10";21
"2022-03-25 02:00:10";27
"2022-03-25 02:00:40";28
"2022-03-25 02:01:10";32
"2022-03-25 02:01:40";27
"2022-03-25 02:02:10";26
"2022-03-25 02:03:10";30
"2022-03-25 02:03:40";29
"2022-03-25 02:04:10";27
"2022-03-25 02:04:40";25
"2022-03-25 02:05:10";27
"2022-03-25 02:05:40";31
"2022-03-25 02:06:10";30
"2022-03-25 02:06:41";32
"2022-03-25 02:07:10";26
"2022-03-25 02:07:40";27
"2022-03-25 02:08:10";24
"2022-03-25 02:08:40";26
"2022-03-25 02:09:11";27
"2022-03-25 02:09:41";30
"2022-03-25 02:10:11";33
"2022-03-25 02:10:41";32
"2022-03-25 02:11:11";31
"2022-03-25 02:11:41";25
"2022-03-25 02:12:41";27
"2022-03-25 02:13:11";32
"2022-03-25 02:13:41";29
"2022-03-25 02:14:11";30
"2022-03-25 02:14:41";28
"2022-03-25 02:15:11";29
"2022-03-25 02:15:41";26
"2022-03-25 02:16:11";24
"2022-03-25 02:16:41";25
"2022-03-25 02:17:11";30
"2022-03-25 02:17:41";33
"2022-03-25 02:18:41";30
"2022-03-25 02:19:11";27
"2022-03-25 02:19:41";32
"2022-03-25 02:20:12";29
"2022-03-25 02:20:41";31
"2022-03-25 02:21:12";28
"2022-03-25 02:21:41";30
"2022-03-25 02:22:11";28
"2022-03-25 02:23:12";29
"2022-03-25 02:23:42";31
"2022-03-25 02:24:42";38
"2022-03-25 02:25:12";33
"2022-03-25 02:25:42";30
"2022-03-25 02:26:12";27
"2022-03-25 02:26:42";28
"2022-03-25 02:27:12";27
"2022-03-25 02:27:42";25
"2022-03-25 02:28:12";20
"2022-03-25 02:29:12";19
"2022-03-25 02:29:42";21
"2022-03-25 02:30:12";25
"2022-03-25 02:30:42";26
"2022-03-25 02:31:12";27
"2022-03-25 02:31:42";28
"2022-03-25 02:32:12";27
"2022-03-25 02:33:12";26
"2022-03-25 02:34:12";25
"2022-03-25 02:34:43";21
