"DateTime";"[Diag Pack][PM - Capteur 2][PM2.5] ug/m3"
"2022-03-15 00:27:30";1,0625
"2022-03-15 01:27:30";1,083333
"2022-03-15 02:27:30";1
"2022-03-15 03:27:30";1,1175
"2022-03-15 04:27:30";1,073333
"2022-03-15 05:27:30";1,2525
"2022-03-15 06:27:30";1,208333
"2022-03-15 07:27:30";1,689167
"2022-03-15 08:27:30";1,548333
"2022-03-15 09:27:30";1,423333
"2022-03-15 10:27:30";1,330833
"2022-03-15 11:27:30";0,865
"2022-03-15 12:27:30";0,170833
"2022-03-15 13:27:30";0,204167
"2022-03-15 14:27:30";2,499167
"2022-03-15 15:27:30";1,943333
"2022-03-15 16:27:30";1,745
"2022-03-15 17:27:30";1,745833
"2022-03-15 18:27:30";3,434167
"2022-03-15 19:27:30";1,2525
"2022-03-15 20:27:30";1,335
"2022-03-15 21:27:30";1,1275
"2022-03-15 22:27:30";1,083333
"2022-03-15 23:27:30";1,219167
"2022-03-16 00:27:30";1,169167
"2022-03-16 01:27:30";1,243333
"2022-03-16 02:27:30";1,738333
"2022-03-16 03:27:30";1,755
"2022-03-16 04:27:30";1,918333
"2022-03-16 06:27:30";2
"2022-03-16 07:27:30";2,8775
"2022-03-16 08:27:30";3
"2022-03-16 09:27:30";3,083333
"2022-03-16 10:27:30";3,043333
"2022-03-16 11:27:30";3,124167
"2022-03-16 12:27:30";2,584167
"2022-03-16 13:27:30";2,515
"2022-03-16 14:27:30";2,464167
"2022-03-16 15:27:30";3,376667
"2022-03-16 16:27:30";5,080833
"2022-03-16 17:27:30";4,911667
"2022-03-16 18:27:30";3,625
"2022-03-16 19:27:30";3,846667
"2022-03-16 20:27:30";8,403333
"2022-03-16 21:27:30";5,856667
"2022-03-16 22:27:30";4,8775
"2022-03-16 23:27:30";4,5125
"2022-03-17 00:27:30";4,135833
"2022-03-17 01:27:30";3,830833
"2022-03-17 02:27:30";3,676667
"2022-03-17 03:27:30";3,54
"2022-03-17 04:27:30";4,240833
"2022-03-17 05:27:30";4,32
"2022-03-17 06:27:30";4,629167
"2022-03-17 07:27:30";5,833333
"2022-03-17 08:27:30";9,515
"2022-03-17 09:27:30";6,169167
"2022-03-17 10:27:30";8,254167
"2022-03-17 11:27:30";7,31
"2022-03-17 12:27:30";6,651667
"2022-03-17 13:27:30";7,561667
"2022-03-17 14:27:30";8,161667
"2022-03-17 15:27:30";7,575
"2022-03-17 16:27:30";6,524167
"2022-03-17 17:27:30";6,745833
"2022-03-17 18:27:30";6,985
"2022-03-17 19:27:30";6,719167
"2022-03-17 20:27:30";7,833333
"2022-03-17 21:27:30";5,7825
