DateTime;[Diag Pack][COV - Capteur 1][Total] µg/m3
2022-03-18 00:12:29;3336,43
2022-03-18 01:12:29;3332,49
2022-03-18 02:12:29;3395,51
2022-03-18 03:12:29;3431,43
2022-03-18 03:44:59;3391,43
2022-03-18 03:49:59;3378,62
2022-03-18 03:54:59;3357,71
2022-03-18 03:59:59;3337,49
2022-03-18 04:04:59;3353,23
2022-03-18 04:09:59;3305,00
2022-03-18 04:14:59;3315,13
2022-03-18 04:19:59;3308,30
2022-03-18 04:24:59;3290,16
2022-03-18 04:29:59;3267,11
2022-03-18 04:34:59;3234,39
2022-03-18 04:39:59;3238,80
2022-03-18 04:44:59;3195,10
2022-03-18 04:49:59;3235,11
2022-03-18 04:54:59;3183,79
2022-03-18 04:59:59;3279,65
2022-03-18 05:04:59;3292,17
2022-03-18 05:09:59;3242,99
2022-03-18 05:14:59;3216,97
2022-03-18 05:19:59;3205,97
2022-03-18 05:24:59;3240,03
2022-03-18 05:29:59;3134,85
2022-03-18 05:34:59;3157,98
2022-03-18 05:39:59;3172,64
2022-03-18 05:44:59;3160,54
2022-03-18 05:49:59;3194,20
2022-03-18 05:54:59;3206,66
2022-03-18 05:59:59;3126,19
2022-03-18 06:04:59;3197,77
2022-03-18 06:09:59;3248,98
2022-03-18 06:14:59;3204,63
2022-03-18 06:19:59;3163,98
2022-03-18 06:24:59;3178,75
2022-03-18 06:29:59;3171,59
2022-03-18 06:34:59;3271,89
2022-03-18 06:39:59;3567,77
2022-03-18 06:44:59;3365,84
2022-03-18 06:49:59;3580,21
2022-03-18 06:54:59;4765,82
2022-03-18 06:59:59;3183,55
2022-03-18 07:04:59;3615,81
2022-03-18 07:09:59;3327,18
2022-03-18 07:14:59;3292,09
2022-03-18 07:19:59;3369,30
2022-03-18 07:24:59;3418,27
2022-03-18 07:29:59;3397,29
2022-03-18 07:34:59;2957,26
2022-03-18 07:39:59;3138,17
2022-03-18 07:44:59;3117,34
2022-03-18 07:49:59;3111,16
2022-03-18 07:54:59;3000,59
2022-03-18 07:59:59;2787,54
2022-03-18 08:04:59;2834,03
2022-03-18 08:09:59;2898,86
2022-03-18 08:14:59;2842,94
2022-03-18 08:19:59;2303,00
2022-03-18 08:29:59;219,63
2022-03-18 08:34:59;801,72
2022-03-18 08:39:59;664,39
2022-03-18 08:44:59;629,36
2022-03-18 08:49:59;641,65
2022-03-18 08:54:59;612,24
2022-03-18 08:59:59;663,70
2022-03-18 09:04:59;751,94
2022-03-18 09:09:59;662,55
2022-03-18 09:14:59;517,13
2022-03-18 09:19:59;578,42
2022-03-18 09:24:59;524,08
2022-03-18 09:29:59;466,81
2022-03-18 09:34:59;212,77
2022-03-18 09:39:59;284,36
2022-03-18 09:44:59;453,82
2022-03-18 09:49:59;306,73
2022-03-18 09:54:59;344,20
2022-03-18 09:59:59;471,22
2022-03-18 10:04:59;1865,09
2022-03-18 10:09:59;371,12
2022-03-18 10:15:01;300,00
2022-03-18 10:15:24;280,00
2022-03-18 10:15:46;260,00
2022-03-18 10:16:09;270,00
2022-03-18 10:16:32;250,00
2022-03-18 10:16:54;310,00
2022-03-18 10:17:40;340,00
2022-03-18 10:18:02;360,00
2022-03-18 10:18:25;450,00
2022-03-18 10:19:10;380,00
2022-03-18 10:19:33;370,00
2022-03-18 10:19:55;400,00
2022-03-18 10:20:18;750,00
2022-03-18 10:20:41;650,00
2022-03-18 10:21:03;320,00
2022-03-18 10:21:26;210,00
2022-03-18 10:21:49;190,00
2022-03-18 10:22:11;130,00
2022-03-18 10:22:56;120,00
2022-03-18 10:23:19;150,00
2022-03-18 10:23:41;140,00
2022-03-18 10:24:04;170,00
2022-03-18 10:24:27;230,00
2022-03-18 10:24:49;200,00
2022-03-18 10:25:34;210,00
2022-03-18 10:25:57;320,00
2022-03-18 10:26:20;460,00
2022-03-18 10:26:42;360,00
2022-03-18 10:27:05;260,00
2022-03-18 10:27:27;160,00
2022-03-18 10:27:50;190,00
2022-03-18 10:28:13;200,00
2022-03-18 10:28:35;230,00
2022-03-18 10:28:58;250,00
2022-03-18 10:29:21;280,00
2022-03-18 10:29:43;340,00
2022-03-18 10:30:06;310,00
2022-03-18 10:30:29;330,00
2022-03-18 10:30:51;270,00
2022-03-18 10:31:14;320,00
2022-03-18 10:31:36;200,00
2022-03-18 10:31:59;230,00
2022-03-18 10:32:22;190,00
2022-03-18 10:32:44;120,00
2022-03-18 10:33:29;170,00
2022-03-18 10:33:52;230,00
2022-03-18 10:34:15;220,00
2022-03-18 10:34:37;200,00
2022-03-18 10:35:00;190,00
2022-03-18 10:35:22;210,00
2022-03-18 10:35:45;270,00
2022-03-18 10:36:08;250,00
2022-03-18 10:36:30;340,00
2022-03-18 10:36:53;380,00
2022-03-18 10:37:16;330,00
2022-03-18 10:37:38;280,00
2022-03-18 10:38:01;250,00
2022-03-18 10:38:24;240,00
2022-03-18 10:38:47;200,00
2022-03-18 10:39:09;270,00
2022-03-18 10:39:32;320,00
2022-03-18 10:39:54;250,00
2022-03-18 10:40:17;260,00
2022-03-18 10:40:40;230,00
2022-03-18 10:41:02;250,00
2022-03-18 10:41:25;200,00
2022-03-18 10:42:10;210,00
2022-03-18 10:42:33;140,00
2022-03-18 10:42:55;80,00
2022-03-18 10:43:41;130,00
2022-03-18 10:44:26;140,00
2022-03-18 10:44:49;150,00
2022-03-18 10:45:11;180,00
2022-03-18 10:45:56;200,00
2022-03-18 10:46:19;190,00
2022-03-18 10:46:42;170,00
2022-03-18 10:47:04;180,00
2022-03-18 10:47:27;200,00
