DateTime;[Diag Pack][QAI - Capteur 2][CO2] ppm
2022-02-27 00:22:30;674,00
2022-02-27 01:22:30;656,00
2022-02-27 02:22:30;642,00
2022-02-27 03:22:30;643,00
2022-02-27 04:22:30;644,00
2022-02-27 05:22:30;629,00
2022-02-27 06:22:30;642,00
2022-02-27 07:22:30;684,00
2022-02-27 08:22:30;703,00
2022-02-27 09:22:30;798,00
2022-02-27 10:22:30;772,00
2022-02-27 11:22:30;691,00
2022-02-27 12:22:30;654,00
2022-02-27 13:22:30;635,00
2022-02-27 14:22:30;631,00
2022-02-27 15:22:30;616,00
2022-02-27 16:22:30;611,00
2022-02-27 17:22:30;622,00
2022-02-27 18:22:30;633,00
2022-02-27 19:22:30;743,00
2022-02-27 20:22:30;706,00
2022-02-27 21:22:30;670,00
2022-02-27 22:22:30;649,00
2022-02-27 23:22:30;662,00
2022-02-28 00:22:30;647,00
2022-02-28 01:22:30;631,00
2022-02-28 02:22:30;625,00
2022-02-28 03:22:30;610,00
2022-02-28 04:22:30;601,00
2022-02-28 05:22:30;589,00
2022-02-28 06:22:30;615,00
2022-02-28 07:22:30;683,00
2022-02-28 08:22:30;728,00
2022-02-28 09:22:30;813,00
2022-02-28 10:22:30;803,00
2022-02-28 11:22:30;705,00
2022-02-28 12:22:30;694,00
2022-02-28 13:22:30;694,00
2022-02-28 14:22:30;700,00
2022-02-28 15:22:30;704,00
2022-02-28 16:22:30;681,00
2022-02-28 17:22:30;668,00
2022-02-28 18:22:30;689,00
2022-02-28 19:22:30;758,00
2022-02-28 20:22:30;743,00
2022-02-28 21:22:30;751,00
2022-02-28 22:22:30;745,00
2022-02-28 23:22:30;745,00
2022-03-01 00:22:30;746,00
2022-03-01 01:22:30;745,00
2022-03-01 02:22:30;743,00
2022-03-01 03:22:30;736,00
2022-03-01 04:22:30;732,00
2022-03-01 05:22:30;731,00
2022-03-01 06:22:30;749,00
2022-03-01 07:22:30;891,00
2022-03-01 08:22:30;884,00
2022-03-01 09:22:30;915,00
2022-03-01 10:22:30;965,00
2022-03-01 11:22:30;864,00
2022-03-01 12:22:30;794,00
2022-03-01 13:22:30;766,00
2022-03-01 14:22:30;733,00
2022-03-01 15:22:30;750,00
2022-03-01 16:22:30;836,00
2022-03-01 17:22:30;876,00
2022-03-01 18:22:30;922,00
2022-03-01 19:22:30;1000,00
2022-03-01 20:22:30;1000,00
2022-03-01 21:22:30;961,00
2022-03-01 22:22:30;872,00
2022-03-01 23:22:30;793,00
2022-03-02 00:22:30;763,00
2022-03-02 01:22:30;720,00
2022-03-02 02:22:30;691,00
2022-03-02 03:22:30;660,00
2022-03-02 04:22:30;637,00
2022-03-02 05:22:30;614,00
2022-03-02 06:22:30;620,00
2022-03-02 07:22:30;650,00
2022-03-02 08:22:30;716,00
2022-03-02 09:22:30;778,00
2022-03-02 10:22:30;691,00
2022-03-02 11:22:30;623,00
2022-03-02 12:22:30;614,00
2022-03-02 13:22:30;635,00
2022-03-02 14:22:30;705,00
2022-03-02 15:22:30;751,00
2022-03-02 16:22:30;794,00
