DateTime;[Diag Pack][QAI - Capteur 3][CO2] ppm
2022-02-27 00:22:30;577,00
2022-02-27 01:22:30;569,00
2022-02-27 02:22:30;569,00
2022-02-27 03:22:30;569,00
2022-02-27 04:22:30;569,00
2022-02-27 05:22:30;563,00
2022-02-27 06:22:30;549,00
2022-02-27 07:22:30;565,00
2022-02-27 08:22:30;571,00
2022-02-27 09:22:30;573,00
2022-02-27 10:22:30;560,00
2022-02-27 11:22:30;552,00
2022-02-27 12:22:30;546,00
2022-02-27 13:22:30;549,00
2022-02-27 14:22:30;549,00
2022-02-27 15:22:30;547,00
2022-02-27 16:22:30;549,00
2022-02-27 17:22:30;551,00
2022-02-27 18:22:30;563,00
2022-02-27 19:22:30;553,00
2022-02-27 20:22:30;551,00
2022-02-27 21:22:30;556,00
2022-02-27 22:22:30;566,00
2022-02-27 23:22:30;569,00
2022-02-28 00:22:30;572,00
2022-02-28 01:22:30;570,00
2022-02-28 02:22:30;569,00
2022-02-28 03:22:30;569,00
2022-02-28 04:22:30;569,00
2022-02-28 05:22:30;569,00
2022-02-28 06:22:30;569,00
2022-02-28 07:22:30;580,00
2022-02-28 08:22:30;588,00
2022-02-28 09:22:30;588,00
2022-02-28 10:22:30;574,00
2022-02-28 11:22:30;546,00
2022-02-28 12:22:30;545,00
2022-02-28 13:22:30;532,00
2022-02-28 14:22:30;535,00
2022-02-28 15:22:30;529,00
2022-02-28 16:22:30;541,00
2022-02-28 17:22:30;558,00
2022-02-28 18:22:30;546,00
2022-02-28 19:22:30;549,00
2022-02-28 20:22:30;550,00
2022-02-28 21:22:30;563,00
2022-02-28 22:22:30;567,00
2022-02-28 23:22:30;572,00
2022-03-01 00:22:30;581,00
2022-03-01 01:22:30;588,00
2022-03-01 02:22:30;588,00
2022-03-01 03:22:30;588,00
2022-03-01 04:22:30;590,00
2022-03-01 05:22:30;604,00
2022-03-01 06:22:30;609,00
2022-03-01 07:22:30;628,00
2022-03-01 08:22:30;649,00
2022-03-01 09:22:30;627,00
2022-03-01 10:22:30;625,00
2022-03-01 11:22:30;604,00
2022-03-01 12:22:30;573,00
2022-03-01 13:22:30;569,00
2022-03-01 14:22:30;556,00
2022-03-01 15:22:30;558,00
2022-03-01 16:22:30;560,00
2022-03-01 17:22:30;568,00
2022-03-01 18:22:30;574,00
2022-03-01 19:22:30;590,00
2022-03-01 20:22:30;589,00
2022-03-01 21:22:30;587,00
2022-03-01 22:22:30;588,00
2022-03-01 23:22:30;582,00
2022-03-02 00:22:30;580,00
2022-03-02 01:22:30;572,00
2022-03-02 02:22:30;569,00
2022-03-02 03:22:30;569,00
2022-03-02 04:22:30;569,00
2022-03-02 05:22:30;569,00
2022-03-02 06:22:30;566,00
2022-03-02 07:22:30;579,00
2022-03-02 08:22:30;591,00
2022-03-02 09:22:30;618,00
2022-03-02 10:22:30;578,00
2022-03-02 11:22:30;588,00
2022-03-02 12:22:30;585,00
2022-03-02 13:22:30;581,00
2022-03-02 14:22:30;612,00
2022-03-02 15:22:30;597,00
2022-03-02 16:22:30;617,00
2022-03-02 17:22:30;587,00
2022-03-02 18:22:30;567,00
2022-03-02 19:22:30;577,00
2022-03-02 20:22:30;601,00
2022-03-02 21:22:30;592,00
2022-03-02 22:22:30;569,00
2022-03-02 23:22:30;569,00
2022-03-03 00:22:30;569,00
2022-03-03 01:22:30;584,00
2022-03-03 02:22:30;586,00
2022-03-03 03:22:30;588,00
2022-03-03 04:22:30;586,00
2022-03-03 05:22:30;586,00
2022-03-03 06:22:30;588,00
2022-03-03 07:22:30;583,00
2022-03-03 08:22:30;569,00
2022-03-03 09:22:30;560,00
2022-03-03 10:22:30;550,00
2022-03-03 11:22:30;548,00
2022-03-03 12:22:30;558,00
2022-03-03 13:22:30;550,00
2022-03-03 14:22:30;551,00
2022-03-03 15:22:30;534,00
2022-03-03 16:22:30;539,00
2022-03-03 17:22:30;556,00
2022-03-03 18:22:30;548,00
2022-03-03 19:22:30;633,00
2022-03-03 20:22:30;752,00
2022-03-03 21:22:30;778,00
2022-03-03 22:22:30;762,00
2022-03-03 23:22:30;754,00
2022-03-04 00:22:30;745,00
2022-03-04 01:22:30;740,00
2022-03-04 02:22:30;729,00
2022-03-04 03:22:30;720,00
2022-03-04 04:22:30;706,00
2022-03-04 05:22:30;695,00
2022-03-04 06:22:30;686,00
2022-03-04 07:22:30;674,00
2022-03-04 08:22:30;693,00
2022-03-04 09:22:30;561,00
2022-03-04 10:22:30;552,00
2022-03-04 11:22:30;570,00
2022-03-04 12:22:30;559,00
2022-03-04 13:22:30;569,00
2022-03-04 14:22:30;564,00
2022-03-04 15:22:30;553,00
2022-03-04 16:22:30;615,00
2022-03-04 17:22:30;610,00
2022-03-04 18:22:30;612,00
2022-03-04 19:22:30;609,00
2022-03-04 20:22:30;606,00
2022-03-04 21:22:30;600,00
2022-03-04 22:22:30;594,00
2022-03-04 23:22:30;588,00
2022-03-05 00:22:30;588,00
2022-03-05 01:22:30;587,00
2022-03-05 02:22:30;580,00
2022-03-05 03:22:30;573,00
2022-03-05 04:22:30;569,00
2022-03-05 05:22:30;568,00
2022-03-05 06:22:30;549,00
2022-03-05 07:22:30;572,00
2022-03-05 08:22:30;631,00
2022-03-05 09:22:30;630,00
2022-03-05 10:22:30;569,00
2022-03-05 11:22:30;558,00
2022-03-05 12:22:30;561,00
2022-03-05 13:22:30;555,00
2022-03-05 14:22:30;563,00
2022-03-05 15:22:30;569,00
2022-03-05 16:22:30;575,00
2022-03-05 17:22:30;602,00
2022-03-05 18:22:30;598,00
2022-03-05 19:22:30;600,00
2022-03-05 20:22:30;596,00
2022-03-05 21:22:30;596,00
2022-03-05 22:22:30;588,00
2022-03-05 23:22:30;588,00
2022-03-06 00:22:30;571,00
2022-03-06 01:22:30;569,00
2022-03-06 02:22:30;569,00
2022-03-06 03:22:30;569,00
2022-03-06 04:22:30;569,00
2022-03-06 05:22:30;569,00
2022-03-06 06:22:30;569,00
2022-03-06 07:22:30;583,00
2022-03-06 08:22:30;588,00
2022-03-06 09:22:30;589,00
2022-03-06 10:22:30;588,00
2022-03-06 11:22:30;574,00
2022-03-06 12:22:30;569,00
2022-03-06 13:22:30;567,00
2022-03-06 14:22:30;564,00
2022-03-06 15:22:30;556,00
2022-03-06 16:22:30;549,00
2022-03-06 17:22:30;547,00
2022-03-06 18:22:30;551,00
2022-03-06 19:22:30;549,00
2022-03-06 20:22:30;547,00
2022-03-06 21:22:30;553,00
2022-03-06 22:22:30;563,00
2022-03-06 23:22:30;570,00
2022-03-07 00:22:30;578,00
2022-03-07 01:22:30;585,00
2022-03-07 02:22:30;586,00
2022-03-07 03:22:30;588,00
2022-03-07 04:22:30;588,00
2022-03-07 05:22:30;592,00
2022-03-07 06:22:30;588,00
2022-03-07 07:22:30;595,00
2022-03-07 08:22:30;631,00
2022-03-07 09:22:30;653,00
2022-03-07 10:22:30;614,00
2022-03-07 11:22:30;592,00
2022-03-07 12:22:30;573,00
2022-03-07 13:22:30;566,00
2022-03-07 14:22:30;551,00
2022-03-07 15:22:30;563,00
2022-03-07 16:22:30;547,00
2022-03-07 17:22:30;544,00
2022-03-07 18:22:30;546,00
2022-03-07 19:22:30;551,00
2022-03-07 20:22:30;550,00
2022-03-07 21:22:30;551,00
2022-03-07 22:22:30;550,00
2022-03-07 23:22:30;553,00
2022-03-08 00:22:30;553,00
2022-03-08 01:22:30;550,00
2022-03-08 06:22:30;546,00
2022-03-08 07:22:30;558,00
2022-03-08 08:22:30;552,00
2022-03-08 09:22:30;546,00
2022-03-08 10:22:30;546,00
2022-03-08 11:22:30;557,00
2022-03-08 12:22:30;549,00
2022-03-08 13:22:30;533,00
2022-03-08 14:22:30;537,00
2022-03-08 15:22:30;530,00
2022-03-08 16:22:30;530,00
2022-03-08 17:22:30;535,00
2022-03-08 18:22:30;535,00
2022-03-08 19:22:30;547,00
2022-03-08 20:22:30;561,00
2022-03-08 21:22:30;557,00
2022-03-08 22:22:30;549,00
2022-03-08 23:22:30;549,00
2022-03-09 00:22:30;549,00
2022-03-09 01:22:30;549,00
2022-03-09 02:22:30;549,00
2022-03-09 03:22:30;549,00
2022-03-09 04:22:30;550,00
2022-03-09 05:22:30;553,00
2022-03-09 06:22:30;552,00
2022-03-09 07:22:30;558,00
2022-03-09 08:22:30;557,00
2022-03-09 09:22:30;549,00
2022-03-09 10:22:30;552,00
2022-03-09 11:22:30;560,00
2022-03-09 12:22:30;549,00
2022-03-09 13:22:30;550,00
2022-03-09 14:22:30;546,00
2022-03-09 15:22:30;542,00
2022-03-09 16:22:30;532,00
2022-03-09 17:22:30;529,00
2022-03-09 18:22:30;532,00
2022-03-09 19:22:30;538,00
2022-03-09 20:22:30;544,00
2022-03-09 21:22:30;549,00
2022-03-09 22:22:30;549,00
2022-03-09 23:22:30;549,00
2022-03-10 00:22:30;549,00
2022-03-10 01:22:30;549,00
2022-03-10 02:22:30;549,00
2022-03-10 03:22:30;549,00
2022-03-10 04:22:30;549,00
2022-03-10 05:22:30;549,00
2022-03-10 06:22:30;549,00
2022-03-10 07:22:30;551,00
2022-03-10 08:22:30;548,00
2022-03-10 09:22:30;546,00
2022-03-10 10:22:30;535,00
2022-03-10 11:22:30;547,00
2022-03-10 12:22:30;551,00
2022-03-10 13:22:30;550,00
2022-03-10 14:22:30;545,00
2022-03-10 15:22:30;547,00
2022-03-10 16:22:30;546,00
2022-03-10 17:22:30;549,00
2022-03-10 18:22:30;658,00
2022-03-10 19:22:30;590,00
2022-03-10 20:22:30;580,00
2022-03-10 21:22:30;573,00
2022-03-10 22:22:30;576,00
2022-03-10 23:22:30;569,00
2022-03-11 00:22:30;570,00
2022-03-11 01:22:30;567,00
2022-03-11 02:22:30;565,00
2022-03-11 03:22:30;556,00
2022-03-11 04:22:30;554,00
2022-03-11 05:22:30;552,00
2022-03-11 06:22:30;549,00
2022-03-11 07:22:30;557,00
2022-03-11 08:22:30;579,00
2022-03-11 09:22:30;553,00
2022-03-11 10:22:30;550,00
2022-03-11 11:22:30;550,00
2022-03-11 12:22:30;549,00
2022-03-11 13:22:30;550,00
2022-03-11 14:22:30;554,00
2022-03-11 15:22:30;546,00
2022-03-11 16:22:30;553,00
2022-03-11 17:22:30;543,00
2022-03-11 18:22:30;551,00
2022-03-11 19:22:30;569,00
2022-03-11 20:22:30;569,00
2022-03-11 21:22:30;569,00
2022-03-11 22:22:30;569,00
2022-03-11 23:22:30;562,00
2022-03-12 00:00:00;562,00
;
