DateTime;[Diag Pack][PM - Capteur 1][PM1] ug/m3
2022-02-27 00:08:49;0,00
2022-02-27 00:10:20;1,00
2022-02-27 00:12:20;0,00
2022-02-27 00:13:50;1,00
2022-02-27 00:14:20;0,00
2022-02-27 00:15:50;1,00
2022-02-27 00:19:20;0,00
2022-02-27 00:20:20;1,00
2022-02-27 00:20:57;2,00
2022-02-27 00:21:20;1,00
2022-02-27 00:22:20;0,00
2022-02-27 00:22:51;1,00
2022-02-27 00:23:50;2,00
2022-02-27 00:24:20;1,00
2022-02-27 00:28:21;0,00
2022-02-27 00:28:51;1,00
2022-02-27 00:31:21;2,00
2022-02-27 00:31:51;1,00
2022-02-27 00:38:21;2,00
2022-02-27 00:38:51;1,00
2022-02-27 00:40:52;0,00
2022-02-27 00:41:21;1,00
2022-02-27 00:43:22;2,00
2022-02-27 00:44:21;1,00
2022-02-27 00:44:52;0,00
2022-02-27 00:45:52;1,00
2022-02-27 00:46:52;0,00
2022-02-27 00:48:22;1,00
2022-02-27 00:52:52;0,00
2022-02-27 00:53:22;1,00
2022-02-27 00:56:22;0,00
2022-02-27 00:56:52;1,00
2022-02-27 00:58:52;2,00
2022-02-27 00:59:22;1,00
2022-02-27 01:00:53;2,00
2022-02-27 01:01:23;1,00
2022-02-27 01:02:22;0,00
2022-02-27 01:02:53;1,00
2022-02-27 01:04:23;0,00
2022-02-27 01:04:53;1,00
2022-02-27 01:07:53;0,00
2022-02-27 01:08:53;1,00
2022-02-27 01:15:23;0,00
2022-02-27 01:15:53;1,00
2022-02-27 01:18:54;2,00
2022-02-27 01:19:24;1,00
2022-02-27 01:20:24;0,00
2022-02-27 01:20:54;1,00
2022-02-27 01:21:54;2,00
2022-02-27 01:22:24;1,00
2022-02-27 01:24:24;0,00
2022-02-27 01:24:54;1,00
2022-02-27 01:32:24;0,00
2022-02-27 01:32:54;1,00
2022-02-27 01:34:25;0,00
2022-02-27 01:35:55;1,00
2022-02-27 01:37:25;0,00
2022-02-27 01:38:25;1,00
2022-02-27 01:38:55;2,00
2022-02-27 01:40:25;1,00
2022-02-27 01:42:25;2,00
2022-02-27 01:42:55;1,00
2022-02-27 01:43:55;0,00
2022-02-27 01:45:25;1,00
2022-02-27 01:46:55;0,00
2022-02-27 01:47:25;1,00
2022-02-27 01:48:55;0,00
2022-02-27 01:49:25;1,00
2022-02-27 01:59:26;0,00
2022-02-27 01:59:56;1,00
2022-02-27 02:05:56;0,00
2022-02-27 02:06:27;1,00
2022-02-27 02:08:57;0,00
2022-02-27 02:09:57;1,00
2022-02-27 02:11:27;0,00
2022-02-27 02:11:57;1,00
2022-02-27 02:12:57;2,00
2022-02-27 02:13:57;1,00
2022-02-27 02:18:57;0,00
2022-02-27 02:19:27;1,00
2022-02-27 02:25:58;2,00
2022-02-27 02:26:58;1,00
2022-02-27 02:33:28;2,00
2022-02-27 02:34:28;1,00
2022-02-27 02:38:29;0,00
2022-02-27 02:38:59;1,00
2022-02-27 02:41:59;2,00
2022-02-27 02:43:29;1,00
2022-02-27 02:46:29;2,00
2022-02-27 02:46:59;1,00
2022-02-27 02:51:30;0,00
2022-02-27 02:51:59;1,00
2022-02-27 02:56:00;0,00
2022-02-27 02:57:30;1,00
2022-02-27 03:02:00;0,00
2022-02-27 03:02:30;1,00
2022-02-27 03:04:00;0,00
2022-02-27 03:04:30;1,00
2022-02-27 03:05:30;0,00
2022-02-27 03:08:01;1,00
2022-02-27 03:11:01;0,00
2022-02-27 03:12:31;1,00
2022-02-27 03:13:01;2,00
2022-02-27 03:13:31;1,00
2022-02-27 03:20:31;0,00
2022-02-27 03:21:01;1,00
2022-02-27 03:29:02;0,00
2022-02-27 03:30:32;1,00
2022-02-27 03:33:02;0,00
2022-02-27 03:34:32;1,00
2022-02-27 03:35:32;0,00
2022-02-27 03:36:02;1,00
2022-02-27 03:41:33;2,00
2022-02-27 03:42:33;1,00
2022-02-27 03:43:33;0,00
2022-02-27 03:44:03;1,00
2022-02-27 03:46:03;0,00
2022-02-27 03:47:03;1,00
2022-02-27 03:54:34;0,00
2022-02-27 03:56:04;1,00
2022-02-27 03:56:34;0,00
2022-02-27 03:57:04;1,00
2022-02-27 04:04:34;2,00
2022-02-27 04:05:04;1,00
2022-02-27 04:06:34;0,00
2022-02-27 04:07:35;1,00
2022-02-27 04:14:35;0,00
2022-02-27 04:16:05;1,00
2022-02-27 04:20:35;0,00
2022-02-27 04:21:06;1,00
2022-02-27 04:22:36;0,00
2022-02-27 04:24:36;1,00
2022-02-27 04:26:06;2,00
2022-02-27 04:27:06;1,00
