"DateTime";"[Diag Pack][PM - Capteur 1][PM2.5] ug/m3"
"2022-02-27 00:08:48";0
"2022-02-27 00:10:19";1
"2022-02-27 00:12:19";0
"2022-02-27 00:13:49";1
"2022-02-27 00:14:19";0
"2022-02-27 00:15:49";1
"2022-02-27 00:19:19";0
"2022-02-27 00:20:19";1
"2022-02-27 00:20:50";3
"2022-02-27 00:21:19";1
"2022-02-27 00:22:19";0
"2022-02-27 00:22:50";1
"2022-02-27 00:23:49";3
"2022-02-27 00:24:19";1
"2022-02-27 00:28:20";0
"2022-02-27 00:28:50";1
"2022-02-27 00:31:20";3
"2022-02-27 00:31:50";1
"2022-02-27 00:38:20";3
"2022-02-27 00:38:50";1
"2022-02-27 00:40:51";0
"2022-02-27 00:41:20";1
"2022-02-27 00:43:21";3
"2022-02-27 00:44:20";1
"2022-02-27 00:44:51";0
"2022-02-27 00:45:51";1
"2022-02-27 00:46:51";0
"2022-02-27 00:48:21";1
"2022-02-27 00:52:51";0
"2022-02-27 00:53:21";1
"2022-02-27 00:56:21";0
"2022-02-27 00:56:51";1
"2022-02-27 00:58:51";3
"2022-02-27 00:59:21";1
"2022-02-27 01:00:52";3
"2022-02-27 01:01:21";1
"2022-02-27 01:02:21";0
"2022-02-27 01:02:51";1
"2022-02-27 01:04:21";0
"2022-02-27 01:04:52";1
"2022-02-27 01:07:52";0
"2022-02-27 01:08:52";1
"2022-02-27 01:15:22";0
"2022-02-27 01:15:52";1
"2022-02-27 01:18:53";2
"2022-02-27 01:19:23";1
"2022-02-27 01:20:23";0
"2022-02-27 01:20:53";1
"2022-02-27 01:21:53";3
"2022-02-27 01:22:23";1
"2022-02-27 01:24:23";0
"2022-02-27 01:24:53";1
"2022-02-27 01:32:23";0
"2022-02-27 01:32:53";1
"2022-02-27 01:34:24";0
"2022-02-27 01:35:54";1
"2022-02-27 01:37:24";0
"2022-02-27 01:38:24";1
"2022-02-27 01:38:54";3
"2022-02-27 01:39:54";2
"2022-02-27 01:40:24";1
"2022-02-27 01:42:24";3
"2022-02-27 01:42:54";1
"2022-02-27 01:43:54";0
"2022-02-27 01:45:24";1
"2022-02-27 01:46:54";0
"2022-02-27 01:47:24";1
"2022-02-27 01:48:54";0
"2022-02-27 01:49:24";1
"2022-02-27 01:59:25";0
"2022-02-27 01:59:55";1
"2022-02-27 02:05:55";0
"2022-02-27 02:06:26";1
"2022-02-27 02:08:56";0
"2022-02-27 02:09:56";1
"2022-02-27 02:11:26";0
"2022-02-27 02:11:56";1
"2022-02-27 02:12:56";3
"2022-02-27 02:13:56";1
"2022-02-27 02:18:56";0
"2022-02-27 02:19:26";1
"2022-02-27 02:25:57";3
"2022-02-27 02:26:57";1
"2022-02-27 02:33:27";3
"2022-02-27 02:34:27";1
"2022-02-27 02:38:28";0
"2022-02-27 02:38:58";1
"2022-02-27 02:41:58";3
