"DateTime";"[Diag Pack][PM - Capteur 3][PM10] ug/m3"
"2022-02-27 00:22:30";0
"2022-02-27 02:22:30";0,083333
"2022-02-27 03:22:30";0
"2022-02-27 04:22:30";0,161667
"2022-02-27 05:22:30";0,084167
"2022-02-27 06:22:30";0
"2022-02-27 07:22:30";0,75
"2022-02-27 08:22:30";1,455
"2022-02-27 09:22:30";1,168333
"2022-02-27 10:22:30";1,033333
"2022-02-27 11:22:30";0,98
"2022-02-27 12:22:30";0,333333
"2022-02-27 13:22:30";0,083333
"2022-02-27 14:22:30";0,165
"2022-02-27 15:22:30";0,156667
"2022-02-27 16:22:30";0,166667
"2022-02-27 18:22:30";0,591667
"2022-02-27 19:22:30";0,4925
"2022-02-27 20:22:30";1,338333
"2022-02-27 21:22:30";1,166667
"2022-02-27 22:22:30";1,5
"2022-02-27 23:22:30";1,7975
"2022-02-28 00:22:30";1,698333
"2022-02-28 01:22:30";1,455833
"2022-02-28 02:22:30";1,001667
"2022-02-28 03:22:30";0,666667
"2022-02-28 04:22:30";0,333333
"2022-02-28 05:22:30";0,104167
"2022-02-28 06:22:30";0,0925
"2022-02-28 07:22:30";0
"2022-02-28 08:22:30";0,063333
"2022-02-28 09:22:30";0
"2022-02-28 10:22:30";0,6975
"2022-02-28 11:22:30";0,208333
"2022-02-28 12:22:30";0,25
"2022-02-28 13:22:30";0,415
"2022-02-28 14:22:30";0,228333
"2022-02-28 15:22:30";0,5
"2022-02-28 16:22:30";0,25
"2022-02-28 17:22:30";1,158333
"2022-02-28 18:22:30";1,195833
"2022-02-28 19:22:30";1,499167
"2022-02-28 20:22:30";1,450833
"2022-02-28 21:22:30";1,755
"2022-02-28 22:22:30";1,5725
"2022-02-28 23:22:30";1,760833
"2022-03-01 00:22:30";2,030833
"2022-03-01 01:22:30";1,999167
"2022-03-01 02:22:30";1,605
"2022-03-01 03:22:30";1,916667
"2022-03-01 04:22:30";1,8775
"2022-03-01 05:22:30";1,5025
"2022-03-01 06:22:30";1,5225
"2022-03-01 07:22:30";4,59
"2022-03-01 08:22:30";4,645
"2022-03-01 09:22:30";3,9825
"2022-03-01 10:22:30";3,335
"2022-03-01 11:22:30";3,8175
"2022-03-01 12:22:30";2,648333
"2022-03-01 13:22:30";1,843333
"2022-03-01 14:22:30";2,169167
"2022-03-01 15:22:30";2,341667
"2022-03-01 16:22:30";4,463333
"2022-03-01 17:22:30";4,364167
"2022-03-01 18:22:30";3,125
"2022-03-01 19:22:30";3,145
"2022-03-01 20:22:30";2,918333
"2022-03-01 21:22:30";2,479167
"2022-03-01 22:22:30";2,090833
"2022-03-01 23:22:30";2,166667
"2022-03-02 00:22:30";2,078333
"2022-03-02 01:22:30";1,471667
"2022-03-02 02:22:30";1,255
"2022-03-02 03:22:30";1,353333
"2022-03-02 04:22:30";1,01
"2022-03-02 05:22:30";1,0825
"2022-03-02 06:22:30";0,92
"2022-03-02 07:22:30";1,104167
"2022-03-02 08:22:30";1,828333
"2022-03-02 09:22:30";2,665
"2022-03-02 10:22:30";1,73
"2022-03-02 11:22:30";2,6775
"2022-03-02 12:22:30";2,036667
"2022-03-02 13:22:30";1,7725
"2022-03-02 14:22:30";1,083333
"2022-03-02 15:22:30";0,966667
"2022-03-02 16:22:30";1,161667
"2022-03-02 17:22:30";2,3675
"2022-03-02 18:22:30";4,568333
"2022-03-02 19:22:30";5,085833
"2022-03-02 20:22:30";6,021667
"2022-03-02 21:22:30";5,814167
"2022-03-02 22:22:30";4,6825
"2022-03-02 23:22:30";4,289167
"2022-03-03 00:22:30";5,989167
"2022-03-03 01:22:30";10,376667
"2022-03-03 02:22:30";9,146667
"2022-03-03 03:22:30";8,030833
"2022-03-03 04:22:30";7,534167
"2022-03-03 05:22:30";6,506667
"2022-03-03 06:22:30";6,083333
"2022-03-03 07:22:30";6,186667
"2022-03-03 08:22:30";7,420833
"2022-03-03 09:22:30";6,1875
"2022-03-03 10:22:30";3,248333
"2022-03-03 11:22:30";1,209167
"2022-03-03 12:22:30";1,588333
"2022-03-03 13:22:30";1,5175
"2022-03-03 14:22:30";1,21
"2022-03-03 15:22:30";0,5875
"2022-03-03 16:22:30";0,354167
"2022-03-03 17:22:30";1,875
"2022-03-03 18:22:30";2,271667
"2022-03-03 19:22:30";2,291667
"2022-03-03 20:22:30";2,398333
"2022-03-03 21:22:30";2,38
"2022-03-03 22:22:30";2,351667
"2022-03-03 23:22:30";2,3375
"2022-03-04 00:22:30";2,088333
"2022-03-04 01:22:30";2,1225
"2022-03-04 02:22:30";1,919167
"2022-03-04 03:22:30";2,145
"2022-03-04 04:22:30";1,958333
"2022-03-04 05:22:30";2,083333
"2022-03-04 06:22:30";2,088333
"2022-03-04 07:22:30";5,2525
"2022-03-04 08:22:30";5,919167
"2022-03-04 09:22:30";4,635833
"2022-03-04 10:22:30";4,085
"2022-03-04 11:22:30";2,575833
"2022-03-04 12:22:30";2,478333
"2022-03-04 13:22:30";1,745
"2022-03-04 14:22:30";4,729167
"2022-03-04 15:22:30";3,258333
"2022-03-04 16:22:30";2,1925
"2022-03-04 17:22:30";2,083333
"2022-03-04 18:22:30";2,020833
"2022-03-04 19:22:30";1,5825
"2022-03-04 20:22:30";2,728333
"2022-03-04 21:22:30";1,999167
"2022-03-04 22:22:30";1,835833
"2022-03-04 23:22:30";1,2625
"2022-03-05 00:22:30";1,083333
"2022-03-05 01:22:30";0,916667
"2022-03-05 02:22:30";0,783333
"2022-03-05 03:22:30";0,583333
"2022-03-05 04:22:30";0,125
"2022-03-05 05:22:30";0
"2022-03-05 07:22:30";2,475833
"2022-03-05 08:22:30";2,533333
"2022-03-05 09:22:30";2,5425
"2022-03-05 10:22:30";1,215833
"2022-03-05 11:22:30";1,79
"2022-03-05 12:22:30";1,089167
"2022-03-05 13:22:30";0,693333
"2022-03-05 14:22:30";0,453333
"2022-03-05 15:22:30";0,229167
"2022-03-05 16:22:30";0,0875
"2022-03-05 17:22:30";0,610833
"2022-03-05 18:22:30";0,414167
"2022-03-05 19:22:30";0,421667
"2022-03-05 20:22:30";0,625
"2022-03-05 21:22:30";0,374167
