"DateTime";"[Diag Pack][PM - Capteur 1][PM10] ug/m3"
"2022-02-27 00:00:18";6
"2022-02-27 00:00:48";7
"2022-02-27 00:02:48";9
"2022-02-27 00:03:48";8
"2022-02-27 00:05:18";9
"2022-02-27 00:06:18";8
"2022-02-27 00:06:48";9
"2022-02-27 00:07:48";8
"2022-02-27 00:08:19";6
"2022-02-27 00:08:48";3
"2022-02-27 00:09:19";4
"2022-02-27 00:09:49";3
"2022-02-27 00:10:19";6
"2022-02-27 00:10:49";5
"2022-02-27 00:11:19";7
"2022-02-27 00:11:49";6
"2022-02-27 00:12:19";4
"2022-02-27 00:12:49";3
"2022-02-27 00:13:49";5
"2022-02-27 00:14:19";4
"2022-02-27 00:14:49";3
"2022-02-27 00:15:19";4
"2022-02-27 00:15:49";6
"2022-02-27 00:16:49";7
"2022-02-27 00:17:19";8
"2022-02-27 00:18:19";7
"2022-02-27 00:18:49";6
"2022-02-27 00:19:19";4
"2022-02-27 00:20:19";6
"2022-02-27 00:20:49";12
"2022-02-27 00:21:19";8
"2022-02-27 00:21:49";6
"2022-02-27 00:22:19";3
"2022-02-27 00:22:50";7
"2022-02-27 00:23:19";8
"2022-02-27 00:23:49";12
"2022-02-27 00:24:19";9
"2022-02-27 00:25:49";8
"2022-02-27 00:26:20";7
"2022-02-27 00:26:50";8
"2022-02-27 00:27:50";6
"2022-02-27 00:28:20";4
"2022-02-27 00:28:50";5
"2022-02-27 00:29:20";7
"2022-02-27 00:29:50";9
"2022-02-27 00:31:20";12
"2022-02-27 00:31:50";8
"2022-02-27 00:32:50";6
"2022-02-27 00:33:20";8
"2022-02-27 00:33:50";6
"2022-02-27 00:34:20";7
"2022-02-27 00:34:50";6
"2022-02-27 00:35:20";8
"2022-02-27 00:35:50";7
"2022-02-27 00:36:50";6
"2022-02-27 00:37:20";7
"2022-02-27 00:37:50";8
"2022-02-27 00:38:20";12
"2022-02-27 00:38:50";9
"2022-02-27 00:39:50";7
"2022-02-27 00:40:20";6
"2022-02-27 00:40:50";4
"2022-02-27 00:41:20";5
"2022-02-27 00:42:20";8
"2022-02-27 00:42:50";9
"2022-02-27 00:43:21";13
"2022-02-27 00:43:51";12
"2022-02-27 00:44:20";7
"2022-02-27 00:44:51";3
"2022-02-27 00:45:51";6
"2022-02-27 00:46:21";7
"2022-02-27 00:46:51";3
"2022-02-27 00:47:21";2
"2022-02-27 00:48:21";6
"2022-02-27 00:48:51";7
"2022-02-27 00:49:21";9
"2022-02-27 00:50:21";8
"2022-02-27 00:50:51";6
"2022-02-27 00:51:21";7
"2022-02-27 00:51:51";6
"2022-02-27 00:52:21";7
"2022-02-27 00:52:51";3
"2022-02-27 00:53:21";7
"2022-02-27 00:53:51";6
"2022-02-27 00:54:21";7
"2022-02-27 00:54:51";5
"2022-02-27 00:55:21";6
"2022-02-27 00:56:21";4
"2022-02-27 00:56:51";5
"2022-02-27 00:57:51";6
"2022-02-27 00:58:21";9
"2022-02-27 00:58:51";12
"2022-02-27 00:59:21";9
"2022-02-27 00:59:51";8
"2022-02-27 01:00:21";7
"2022-02-27 01:00:52";12
"2022-02-27 01:01:21";7
"2022-02-27 01:02:21";2
"2022-02-27 01:02:51";5
"2022-02-27 01:03:22";6
"2022-02-27 01:04:21";4
"2022-02-27 01:04:52";6
"2022-02-27 01:05:22";8
"2022-02-27 01:06:22";7
"2022-02-27 01:06:52";5
"2022-02-27 01:07:22";6
"2022-02-27 01:07:52";4
"2022-02-27 01:08:22";3
"2022-02-27 01:08:52";6
"2022-02-27 01:09:22";7
"2022-02-27 01:10:52";8
"2022-02-27 01:11:22";9
"2022-02-27 01:11:52";8
"2022-02-27 01:12:22";6
"2022-02-27 01:12:52";5
"2022-02-27 01:13:22";6
"2022-02-27 01:13:52";8
"2022-02-27 01:14:22";6
"2022-02-27 01:15:22";4
"2022-02-27 01:15:52";5
"2022-02-27 01:16:22";6
"2022-02-27 01:17:22";7
"2022-02-27 01:17:52";8
"2022-02-27 01:18:53";11
"2022-02-27 01:19:23";9
"2022-02-27 01:19:53";7
"2022-02-27 01:20:23";4
"2022-02-27 01:20:53";7
"2022-02-27 01:21:23";9
"2022-02-27 01:21:53";12
"2022-02-27 01:22:23";9
"2022-02-27 01:22:53";7
"2022-02-27 01:23:23";6
"2022-02-27 01:23:53";5
"2022-02-27 01:24:23";3
"2022-02-27 01:24:53";6
"2022-02-27 01:25:53";7
"2022-02-27 01:26:23";5
"2022-02-27 01:26:53";7
"2022-02-27 01:27:23";6
"2022-02-27 01:27:53";8
"2022-02-27 01:29:23";7
"2022-02-27 01:29:53";6
"2022-02-27 01:32:23";3
"2022-02-27 01:32:53";7
"2022-02-27 01:33:23";8
"2022-02-27 01:34:23";3
"2022-02-27 01:35:24";4
"2022-02-27 01:35:54";7
"2022-02-27 01:36:54";5
"2022-02-27 01:37:24";3
"2022-02-27 01:37:54";2
"2022-02-27 01:38:24";6
"2022-02-27 01:38:54";12
"2022-02-27 01:39:54";11
"2022-02-27 01:40:24";7
"2022-02-27 01:40:54";6
"2022-02-27 01:41:24";8
"2022-02-27 01:41:54";7
"2022-02-27 01:42:24";12
"2022-02-27 01:42:54";9
"2022-02-27 01:43:24";7
"2022-02-27 01:43:54";3
"2022-02-27 01:44:24";2
"2022-02-27 01:44:54";3
"2022-02-27 01:45:24";6
"2022-02-27 01:45:54";5
"2022-02-27 01:46:24";6
"2022-02-27 01:46:54";3
"2022-02-27 01:47:24";6
"2022-02-27 01:47:54";7
"2022-02-27 01:48:54";3
"2022-02-27 01:49:24";5
"2022-02-27 01:49:54";6
"2022-02-27 01:50:24";7
"2022-02-27 01:50:54";6
"2022-02-27 01:51:24";7
"2022-02-27 01:53:25";8
"2022-02-27 01:53:55";7
"2022-02-27 01:54:25";8
"2022-02-27 01:54:55";7
"2022-02-27 01:55:25";6
"2022-02-27 01:55:55";5
"2022-02-27 01:56:25";7
"2022-02-27 01:57:25";8
"2022-02-27 01:57:55";6
"2022-02-27 01:58:55";5
"2022-02-27 01:59:25";4
"2022-02-27 01:59:55";5
"2022-02-27 02:01:25";6
"2022-02-27 02:02:25";7
"2022-02-27 02:02:55";6
"2022-02-27 02:03:25";5
"2022-02-27 02:03:55";6
"2022-02-27 02:04:56";7
"2022-02-27 02:05:26";6
"2022-02-27 02:05:55";4
"2022-02-27 02:06:25";6
"2022-02-27 02:06:56";7
"2022-02-27 02:07:26";9
"2022-02-27 02:07:56";8
"2022-02-27 02:08:26";7
"2022-02-27 02:08:56";3
"2022-02-27 02:09:26";4
"2022-02-27 02:09:56";8
"2022-02-27 02:10:26";9
"2022-02-27 02:10:56";8
"2022-02-27 02:11:26";4
"2022-02-27 02:11:56";6
"2022-02-27 02:12:26";7
"2022-02-27 02:12:56";13
"2022-02-27 02:13:26";12
